body-site	metadata-column(s)	Effect Size	Df	AIC	F	Pr(>F)
Baby-Feces	Birth mode	0.173594809627597	2.0	948.5120702937011	14.863970808627698	0.0001999600079984
Baby-Feces	Time (days)	0.09955118984363903	1.0	932.413215924494	18.805026415564	0.0001999600079984
Baby-Feces	Country of Birth	0.02112076358343301	1.0	929.4562449455581	4.860635095005441	0.0213957208558288
Baby-Feces	Sex	0.01385133598307492	1.0	927.776771417782	3.56253415990179	0.0489902019596081
Baby-Feces	All Others Aggergated	0.005885320331270039	-	-	-	-
Baby-Mouth	Time (days)	0.13935034499330098	1.0	756.995981100293	20.915295770428898	0.0001999600079984
Baby-Mouth	All Others Aggergated	0.02291902661192205	-	-	-	-
Baby-Forearm	Birth mode	0.09024436696585801	1.0	825.256843756019	11.812393616593699	0.00039992001599680095
Baby-Forearm	Maternal Prenatal GBS	0.08937755206982999	1.0	814.8584013655119	12.766252472512699	0.0001999600079984
Baby-Forearm	Time (days)	0.074448789563855	1.0	805.360735336571	11.6793238651033	0.0001999600079984
Baby-Forearm	Country of Birth	0.04294994495129101	1.0	799.7947105181979	7.47628438564106	0.0017996400719856
Baby-Forearm	All Others Aggergated	0.005413809446027984	-	-	-	-
